Orig_singkat,New_Singkat,singkat_prior_2016,Order_latin,Family,Latin_name,Spp_common_name,Indonesia_name,Mark_comment_3_06,class,notes
NULL,SJ,,RODEN,SCIUR,Sundasciurus jentinki,Jentink's Squirrel,Tupai Jentink,NULL,Mammal,Added 2017 (Camera Trap)
sl,SL,NULL,RODEN,SCIUR,Sundasciurus lowii,Low's Squirrel,Bajing,Sundasciurus lowii,Mammal,NULL
,PS,NULL,RODEN,SCIUR,Unid pygmy squirrel,Unid pygmy squirrel,Kelinsat,,Mammal,NULL
sq,SQX,SQ,RODEN,SCIUR,Unid squirrel,Unid squirrel,Bajing tidak tahu,unid squirrel,Mammal,NULL
bp,BP,NULL,ARTIO,SUIDA,Sus barbatus,Bearded Pig,Babi hutan,bearded pig,Mammal,NULL
NULL,TS,NULL,PRIMA,TARSI,Tarsius bancanus,Western Tarsier,NULL,NULL,Mammal,NULL
NULL,KCL,NULL,ARTIO,TRAGU,Tragulus javanicus,Lesser Mouse Deer,Kancil,NULL,Mammal,Added 2016
NULL,KAB,NULL,ARTIO,TRAGU,Tragulus napu,Greater Mouse Deer,Napu (kancil yang lebih besar),NULL,Mammal,Added 2016
ka,KAX,KA,ARTIO,TRAGU,Tragulus spp.,Unid Mouse Deer,Kancil tidak tahu,kancil,Mammal,NULL
NULL,TPH,NULL,SCAND,TUPAI,Tupaia dorsalis,Striped treeshrew,Tupai punggung hitam,Black stripe on dorsal,Mammal,Added 2016 (Camera trap)
NULL,TPK,NULL,SCAND,TUPAI,Tupaia gracilis,Slender Treeshrew,Tupai kecil,"Different with T. minor, often seen on the ground",Mammal,Added 2017 (Camera Trap)
NULL,TPL,,SCAND,TUPAI,Tupaia longipes (glis),Plain (Common) treeshrews,Tupai tanah datar,"Almost similar with T.tana. Different rhinarium, size, claw",Mammal,Added 2016 (Camera trap)
NULL,TPG,NULL,SCAND,TUPAI,Tupaia montana,Mountain treeshrew,Tupai gunung,"Long, thin and less bushy tail. Long nose with pale stripe o",Mammal,Added 2016 (Camera Trap)
NULL,TPP,,SCAND,TUPAI,Tupaia sp.,Unid Pale shoulder stripe Treeshrews,Tupai garis putih tidak tahu,NULL,Mammal,Added 2016 (Cam trap)
NULL,TPM,,SCAND,TUPAI,Tupaia splendidula,Splendid treeshrews,Tupai ekor merah,NULL,Mammal,Added 2016 (Cam trap)
NULL,TPT,NULL,SCAND,TUPAI,Tupaia tana,Large ground treeshreew,Tupai tanah besar,"Pale stripe on shoulder, long nose",Mammal,Added 2016 (Camera trap)
sb,SB,NULL,CARNI,URSID,Helarctos malayanus,Sun Bear,Beruang,sun bear,Mammal,NULL
bi,BI,NULL,CARNI,VIVER,Arctictis binturong,Binturong,Binturong,binturong,Mammal,NULL
sc,ST,NULL,CARNI,VIVER,Arctogalidia trivirgata,Small-toothed Palm Civet,Musang,small clawed civet?,Mammal,NULL
NULL,MBB,,CARNI,VIVER,Cynogale bennettii,Otter-civet,Musang berang-berang,,Mammal,Added 2016 (Cam trap)
NULL,LSM,NULL,CARNI,VIVER,Hemigalus derbyanus,Banded Palm Civet,Linsang merah,NULL,Mammal,Added 2016
NULL,LSH,NULL,CARNI,VIVER,Hemigalus hosei,Hose's Civet,Musang Hose,NULL,Mammal,Added 2017 (Camera Trap)
NULL,MLK,NULL,CARNI,VIVER,Paguma larvata,Masked Palm Civet,Musang luak kopi,NULL,Mammal,Added 2016
pc,PC,NULL,CARNI,VIVER,Paradoxurus hermaphroditus,Common Palm Civet,Musang biasa,,Mammal,NULL
ta,TA,NULL,CARNI,VIVER,Viverra tangalunga,Malay Civet (Tanggalong),Tanggalong,,Mammal,NULL
ci,CIX,CI,CARNI,VIVER,Unid Civet,Unid Civet,NULL,unid civet,Mammal,NULL
pr,PR,NULL,PRIMA,,,Unid primate,Primata tidak tahu,Ptillinopus jambu?,Mammal,NULL
NULL,LZB,NULL,SQUAM,AGAMI,Agamidae,Agamid lizard,Bunglon,,Reptile,Added 2016 (Camera trap)
NULL,UPG,NULL,SQUAM,COLUB,Dendrelaphis caudolineatus,Striped Bronzeback Tree Snake,Ular pohon dengan garis,NULL,Reptile,Added 2016
NULL,UGA,NULL,SQUAM,COLUB,Oreocalamus hanitschi,Mountain Reed Snake,Ular gunung alang-alang,NULL,Reptile,Added 2016
