"location","ziqr","zMADmean","zMADmedian","CRR","zentropy","lad.min","lad.max","lad.mean","lad.cv","lad.sum","rumple","vn","vFRall","vFRcanopy","vzrumple","vzsd","vzcv","OpenGapSpace","ClosedGapSpace","Euphotic","Oligophotic"
"MB 17.16",2.356,1.91761018846832,1.117,0.0968449203193921,0.533779567339505,0,0.651957816965677,0.0342373274397533,3.2687615331108,1.33525577015038,9.06366805145152,21936,4.68447690435005,50.1348448141884,3.52241496528785,0.388887325047829,99.8491608376361,14.265060755547,4.65927776710018,1.84124543532577,79.234416042027
"NB 10.20",2.3,1.8332849381344,1.035,0.132164684456595,0.525888961054855,0,0.607080374823349,0.0327103215768234,3.26703508753885,1.30841286307294,10.7031201069604,17333,3.88418047444683,32.7358918183879,3.40514686472728,0.3429299047506,85.3812960221088,12.6064995540576,7.98102391954214,1.62130304809455,77.7911734783057
"RB 0",2.558,2.18368879411566,1.208,0.143292669152691,0.560568862181406,0,1.06354146732659,0.0455049260698322,3.71429275236587,2.13873152528211,9.22368215527469,26787,2.22068025586693,32.4015386104122,3.66378309001659,0.361421569520096,104.26135947697,9.95181769646807,4.63294568630767,0.932309335031154,84.4829272821931
"RB 4.40",2.536,2.10588736713734,1.216,0.473231767352035,0.546676573976595,0,0.896370211471008,0.0394847264346022,3.64458645592146,1.8557821424263,13.9829428955874,36916,2.70645161290323,15.5774886806227,2.73512800489791,0.355311871722012,144.361569552067,8.54846041055719,14.6676686217009,1.01532258064516,75.7685483870968
"RB 4.40 S 50",2.904,2.12833191328248,1.359,0.248020385876582,0.562375418615338,0,0.662731851013187,0.0390752833081804,3.10093838586867,1.64116189894358,12.4919881743833,31975,3.06061403718682,25.4841794851359,3.0637335155796,0.35082335062654,92.7226938591053,8.82720333102013,8.94924501663117,1.16145397114073,81.062097681208
"RB 9",2.02,1.65695632402315,0.989,0.161426187242496,0.519534096760519,8.86369718636664e-07,0.861982010064061,0.0400103184703029,3.68717402980016,1.52039210187151,16.9576523088534,27575,5.95508044487636,40.5461041920922,3.2302569005146,0.368615460394173,85.2827052849428,13.0484828852176,8.73210236475543,2.13778209696577,76.0816326530612
"RS 22.30",2.199,1.79550739598306,1.092,0.113619551619361,0.532058819751066,6.54050683088768e-07,0.738235444116488,0.0388661426559589,3.38520766993159,1.36031499295856,12.5090277154158,26138,4.81540162122329,40.3457590491626,3.22965173465278,0.332434008100421,72.52688770159,11.0197126013265,7.11993367722918,1.89756816507001,79.9627855563744
"RS 29.15",2.254,1.82327400394712,1.061,0.0957378549830872,0.518728798416214,0,0.894083882672315,0.0357878082398941,3.87067217266992,1.68202698727502,12.926630334336,23796,3.3389740610714,44.109959775335,3.76526184546835,0.365923332995666,110.564328636697,12.1956181928904,4.23068612016153,1.20966949825586,82.3640261886922
"RS 32.30",2.868,2.32714716754858,1.295,0.339498337717585,0.655087548515463,2.51062528093407e-07,0.94165757275113,0.0719611661156543,2.62611619458384,1.94295148512267,8.50638522104413,27016,3.69351079028498,29.6475132786094,2.3120950658668,0.366336338535221,78.6467278230255,7.39795883490898,8.76456876456876,1.51535658867037,82.3221158118519
"SK 10.35",2.804,2.10116898864472,1.402,0.108131491309315,0.553537022204123,1.01850317023602e-06,0.738588347722049,0.0396453300510525,3.31706361487254,1.70474919219526,12.9755633510341,38311,3.34022110622864,31.1915326684307,3.61945577795603,0.321117868408173,78.3341628500829,9.76415916858478,7.36852200599847,1.31207714305643,81.5552416823603
"SK 2.13",2.596,2.17805190375594,1.241,0.205780007352156,0.5654331951764,1.49017466366966e-07,1.07316706270913,0.0486446907209577,3.62865998360983,2.1890110824431,10.9360190582355,36136,2.57654188948307,26.8701109425657,3.27102883582873,0.327163480258021,95.9707306683384,7.93661319073084,7.01233511586453,0.888057040998217,84.1629946524064
"SP 24",2.619,1.76964727868507,1.277,0.0788531917896155,0.513877954635107,4.02463772197472e-06,0.727406897056026,0.0337412694610862,3.60888793161165,1.61958093413214,11.8570505570265,29499,2.79383630405546,35.9432686332566,3.92917743564787,0.33860567830638,110.746465832317,10.9810959786335,4.97906919477961,1.01538082700358,83.0244539995833
"SP 24 W 55",3.233,2.05690651000525,1.468,0.0814810644559883,0.530973902414591,4.04643299068857e-06,0.615335345629048,0.0319966502463457,3.25834701353986,1.53583921182459,15.2073213109885,27604,3.42901720719691,34.0958498023715,3.92747239482477,0.317489668780701,102.204825740727,12.8226659975255,6.62797573203878,1.20271499058399,79.3466432798517
"ST 18 E 20",2.735,2.09044274742716,1.347,0.0943061557846013,0.541064272964736,7.20690724384376e-07,0.693005049114609,0.036709643949178,3.29841534983957,1.46838575796712,13.0948448002867,30545,3.88784870674458,42.6409615679924,3.51767605101705,0.323009023102276,82.4718882892254,10.5857165949853,5.22978974178168,1.44554911646745,82.7389445467656
"ST 5",2.127,1.58614205691042,1.047,0.0847067454921915,0.499992123959676,0,0.79160041371024,0.0340914947882829,3.80491777237929,1.43184278110788,12.0289905190286,21257,3.17797053608537,37.5711407260773,3.6620650389487,0.330348462407039,95.4509582355619,10.6941990114907,5.28057097921021,1.17045356009843,82.8547764492006
"SZ 15.25",2.145,1.68759880254937,1.011,0.138404377657708,0.526406636166772,1.92243891386098e-07,0.731329512891629,0.0370134799262336,3.41278717791765,1.36949875727064,11.080747502198,21600,4.47945052073612,45.6264126233075,3.21409223045964,0.374069414328121,101.322589000442,12.1055076503208,5.33821925251243,1.71753746355262,80.8387356336141
"TL 17.38",2.131,1.89644085064158,1.067,0.0970810842073688,0.496387416739528,0,0.754982185307571,0.0283244474007384,4.03782905492351,1.35957347523544,12.0495562118942,21768,3.01222575087697,29.0775026047928,3.84499008623572,0.380414548707476,94.3277089352937,12.6036628820115,7.34707433007452,1.19088638423591,78.8583764036781
"TL 26.10",3.883,2.63259289119274,1.593,0.141344641415933,0.596565750698617,9.98543125656841e-07,0.614052022523612,0.039148192470019,2.80744201023717,1.72252046868084,9.7096633514835,31077,2.8811013767209,31.7569155621864,3.59425691658377,0.379568760066661,94.4689246080566,11.0639224957122,6.19125759050665,1.19445603300422,81.5503638807769
"TL 26 S 40",2.265,1.78045739462069,1.005,0.107574722294865,0.510890869484616,4.44306709361782e-06,0.907096589223187,0.035869608980162,3.89678893952106,1.72174123104778,8.82546680038938,16930,2.48115320131781,30.7081186969455,3.78006745070614,0.343473490323253,109.697011328516,12.3538860164375,5.59864232703739,1.03159110360756,81.0158805529176
"TL 35.4 W 54",2.528,1.6950477166884,1.158,0.0739176805606394,0.466029225512234,1.1936802636173e-07,0.396391125972822,0.0207509843011753,3.29570213447981,0.913043309251713,12.7812437987211,15593,3.88302852816958,39.6647334147334,3.75286682254918,0.348758117573261,101.75783567699,14.8458044465694,5.90659614311897,1.35593473583552,77.8916646744761
"TL 35.42",2.772,2.18884823855478,1.287,0.132626450459183,0.557343941872423,0,0.554799031776528,0.0336601527539295,2.92394374246995,1.27908580464932,12.1505390097611,28527,5.17678784007433,42.616411957155,3.31422712367044,0.372722700205438,101.633472432714,16.0704175256235,6.97061641648036,1.81887140326936,75.1400946546268
