cid,id,obs_time,trail,trailmark,compass,distance,animal,n_indiv,observed,activity,continued,comment,geom
1328,23562,09:53:00,DS,9.07,s,1,DE,1,1,T,0,NULL,NULL
1328,23563,09:58:00,DS,9.40,n,16,TR,1,1,I,0,NULL,NULL
1328,23565,10:40:00,BM,11.15,w,25,RA,1,1,T,0,NULL,NULL
1329,23573,07:23:00,RB,27.00,w,2,YB,1,1,IV,0,NULL,NULL
1329,23576,07:50:00,BD,5.05,w,1,CP,1,1,IV,0,NULL,NULL
1329,23579,08:46:00,BD,16.19,n,15,GN,4,1,T,0,"Dan lihat 4 ekor GN yg sedang T ke arah SE cepat sekali melintasi rintes TZ.Saya ikut 4 GN ini.Sewaktu T GN lihat ke saya dan bersuara,GN T ke arah E 2 GN dan ke arah S 2 GN,GN hilang hilang sewaktu ada angin yg sedikit kuat/berangin.4 Gnbelum jelas kelaminnya,2 GN besar dan 2 GN sedang besar. 08:52 - Saya tinggalkan lokasi dan kembali sensus.",NULL
1332,23604,07:10:00,RG,0.00,w,3,LBJ,11,1,IV,0,NULL,NULL
1332,23608,10:46:00,IF,13.40,n,3,GN,1,1,T,0,"Satu ekor GN jantan besar brewok yg sedang T dari N ke arah S.Alis mata wrn putih,brewok wrn abu-abu,dan badan wrn coklat dan wrn abu-abu di belakang,Begitu GN nya lihat langsung T cepat sekali ke arah S dan hilang.",NULL
1333,23613,06:48:00,RS,28.36,e,0,PKM,1,1,IV,0,NULL,NULL
1333,23614,07:06:00,RS,25.15,w,5,DE,1,1,T,0,"1 ekor DE yg sedang lari di bumi.",NULL
1333,23616,07:23:00,RS,22.00,w,30,GN,3,1,T,0,"3 ekor GN yg sedang T ke arah NW,saya hanya lihat dan hitung jumlahnya saja.GN masih terus T cepat sekali ke arah NW,3 GN belum jelas kelaminnya.",NULL
1333,23619,07:45:00,MB,22.15,n,6,PM,2,1,I,0,NULL,NULL
1333,23621,07:59:00,SZ,20.05,e,8,BC,5,1,IV,0,NULL,NULL
1333,23622,08:17:00,SZ,17.00,w,6,CP,1,1,T,0,"1 ekor PC yg sedang lari di pohon.",NULL
1333,23625,09:02:00,TR,9.00,s,15,FK,1,1,IV,0,"1 ekor FK jantan besar brewok,wrn bulu putih abu-abu yg sedang istirahat dan bersuara.",NULL
1334,23633,07:28:00,GP,36.00,n,15,RH,2,1,I,0,NULL,NULL
1334,23637,09:21:00,TL,23.20,w,20,BC,5,1,IV,0,"Lihat burung BC 5 ekor,cuaca cukup cerah dan panas.",NULL
1334,23638,09:42:00,TL,19.15,s,5,RH,2,1,IV,0,NULL,NULL
1335,23644,06:18:00,SI,12.15,w,30,GN,1,1,T,0,"Satu ekor GN besar belum tahu jenis kelaminnya,wrn badan hitam,wrn abu-abu di belakang yg sedang T menuju arah NW,saya hanya bisa lihat dari jauh saja.",NULL
1335,23648,06:54:00,SI,18.00,e,2,DE,1,1,T,0,NULL,NULL
1335,23650,07:48:00,DP,8.05,n,6,PG,3,1,IV,0,NULL,NULL
1335,23653,09:09:00,HB,10.10,s,5,PG,1,1,IV,0,NULL,NULL
1335,23654,09:09:00,HB,10.10,s,5,BB,2,1,IV,0,NULL,NULL
1336,23659,05:48:00,TK,16.30,s,25,KL,1,1,TV,0,"1 ekor KL yg sedang T dan bersuara ke arah SW,KL belum jelas jenis kelaminnya,saya hanya lihat tidak bisa ikut karena KL T cepat sekali.",NULL
1338,23693,08:37:00,FS,17.00,n,20,GN,1,0,TT,0,"1 GN JB jalan cepat k arah N",NULL
1339,23703,06:39:00,NB,17.35,s,5,PX,2,1,IV,0,"PX 1 ekor warna oren di depan",NULL
1339,23705,06:55:00,MS,0.10,w,10,BD,1,1,TV,0,"1 ekor bd yang sedang lari dan bersuara setelah lihat ke saya",NULL
1340,23719,06:15:00,BK,6.00,s,20,OH,1,1,T,0,"lihat OH Jantan Sedang jelan terus dari W ke E melewati rintis DT dan OH itu jantan muda belum belimbing",NULL
1340,23730,07:35:00,AT,16.40,w,30,GN,4,1,IV,0,"Lihat GN 1 JB 1 BB 1 anak ada satu anak lagi masih warna putih  abuabu - 2 ekor gn warna abu abu dan dedikit hitam saya ikut mereka  - lihat lagi 1 ekor gn BS mereka jalan ke E saya ikut kembali lagi ke timur jalannya semakin cepat dan saya tinggalkan jauh mereka ~150 M. 8:02 saya langutkan sensus",NULL
1340,23734,08:42:00,AT,8.00,e,10,RH,1,1,I,0,NULL,NULL
1340,23735,08:48:00,AT,7.25,e,15,FK,5,1,T,0,"likat FK kejarkan 1 ekor tupai kecil yang jalan dekat degn kera",NULL
1340,23736,09:03:00,AT,4.35,w,3,RH,2,1,I,0,NULL,NULL
1340,23740,10:55:00,MT,2.00,n,5,BH,2,1,IV,0,NULL,NULL
1342,23778,06:21:00,NB,10.37,s,20,kl,3,1,TT,0,"lihat kl 3 ekor, 1 bb 1 anak 1 bj. Kl 3 t dan istirahat. Kl 1 bb bawa anak masih di gendong, kl t ke s dengan cepat, saya tidak bisa ikuti lama.",NULL
1342,23779,06:42:00,NB,12.00,ne,30,gn,4,1,IV,0,"Lihat 4 ekor gn. 1 bj warna hitam, belakang abu-abu. 1 bb warna hitam tua. 1 sb warna abu-abu, muka berewok. 1 bb warna hitam abu-abu. Yang 1 gn jalan ke e jauh dari teman, yang 3 ekor lagi jalan sama-sama. Saya bisa lihat mereka dengan teliti. Mereka lagi istirahat, begitu saya lihat dengan cukup jelas, 3 ekor gn itu lari ke arah s melewati rintis nb, tidak lama kemudian, gn yang satu dari arah n itu datang mendekati gn yang 3 ekor itu. Cuaca berubah semakin mendung, saya masih ikut gn sampai 50 meter.",NULL
1343,23798,10:56:00,FS,9.15,e,20,ra,1,1,T,0,NULL,NULL
1344,23804,05:50:00,MB,4.05,w,1,kl,5,1,T,0,"5 ekor kl sedang t ke arah nw  05:59 - 5 ekor kl sudah jelas saya lihat jenis kelaminnya, 1. bj 2. bb 3. as 4. bb 5. as-jalan sendiri belum jelas kelaminnya.",NULL
1344,23805,06:04:00,MB,4.15,w,20,kl,4,1,F,0,"jenis buah baccaurea T#69058 dbh 30. 4 ekor kl betina dan anak sedang besar t ke arah sw dan makan buah baccaurea, sedangkan kl jantan masih istirahat. Kl makan daging 50% buang kulit dan biji, status R crop size E, posisi makan dan ekor 2. 2y 3. 2y 4. 2z 5. 2z. Tinggi pohon 25 - 06:15 - KL jantan datang dari arah ne dan makan sama pohon dengan 4 ekor kl, posisi kl jantan makan 2y. 06:20 - kl lihat ke saya dan kl bersuara t ke arah e, saya tinggalkan lokasi dan kembali ke sensus.",NULL
1344,23807,06:31:00,RR,6.40,e,2,pg,3,1,IV,0,NULL,NULL
1344,23809,06:52:00,RR,3.15,e,5,gn,1,1,T,0,"1 gn yang sedang t cepat sekali ke arah w melintasi rintis rr dan sungai air putih, gn belum jelas jenis kelaminnya.",NULL
1344,23812,07:30:00,AP,16.07,e,15,pm,2,1,IV,0,NULL,NULL
1344,23817,09:12:00,UB,2.10,e,2,UBX,1,1,IV,0,"1 ekor ub warna hitam, ekor warna biru dan mata merah",NULL
1344,23820,09:40:00,AT,3.30,w,6,gn,2,1,T,0,"2 gn t cepat sekali ke arah sw, gn belum jelas jenis kelaminnya",NULL
1344,23821,10:02:00,AT,7.23,w,12,kl,4,1,F,0,"jenis makan buah ficus T#69059F dbh 70 / idbh 80. 4 eko kl yang sedang makan buah ficus, 1. bb 2. bb 3. bj 4. bb. Kl makan daging dan kulit 50% buang biji, status R crop size J, posisi makan dan ekor 1. 2y 2. 2y 3. 2y 4. 2z tinggi pohon 48. - 10:21 - kl no 1 dan 2 t ke arah e melintasi rintis at, kl no 3 dan 4 masih di pohon yang sama sedang istirahat. 10:32 - Saya tinggalkan lokasi, 2 ekor kl masih istirahat di pohon dan posisi yang sama.",NULL
1345,23831,06:11:00,BM,9.07,w,3,bl,1,1,I,0,"1 ekor bl yang sedang istirahat, tidak lama terbang ke arah E",NULL
1345,23832,06:42:00,BM,15.35,w,NULL,bh,1,1,I,0,NULL,NULL
1345,23839,08:26:00,GB,6.30,e,1,pg,5,1,F,0,"jenis makan macarangga T#66646 dbh 14. binatang makan sama pohon, makan biji 100% buang kulit, posisi makanan 123-xyz crop H, status buah M tinggi pohon 9m.",NULL
1345,23840,08:26:00,GB,6.30,e,1,ps,1,1,F,0,NULL,NULL
1345,23841,08:26:00,GB,6.30,e,1,bh,3,1,F,0,NULL,NULL
1345,23842,08:26:00,GB,6.30,w,3,UBX,1,1,I,0,"1 ekor ub yang sedang istirahat, warna bulu semua hitam, dan ada sedikit warna biru di sayap, kepala dan paruh warna hitam, sebesar burung TR.",NULL
1345,23844,09:06:00,SP,0.47,e,4,ra,1,1,T,0,NULL,NULL
1345,23845,09:10:00,SP,2.05,e,6,ra,1,1,T,0,NULL,NULL
1345,23846,09:18:00,SP,2.10,e,20,oh,2,1,F,0,"Jenis makan rayap. 1 ekor oh yang masih gendong anak, yang sedang makan rayap dari pohon yang sudah lapuk.",NULL
1345,23847,09:20:00,SP,2.10,e,35,oh,1,1,I,0,"saya lihat 1 oh lagi yang sedang istirahat, oh-nya anak sedang besar yang jalan sendiri.",NULL
1345,23848,09:36:00,SP,4.40,w,6,ra,1,1,I,0,NULL,NULL
1346,23857,06:11:00,KP,29.20,e,30,kl,2,1,TV,0,"2 ekor kl yang sedang t dan bersuara ke arah e, saya hanya hitung jumlahnya saja, 2 ekor kl belum jelas kelaminnya.",NULL
1346,23866,08:35:00,BD,9.40,w,NULL,pm,3,1,IV,0,NULL,NULL
1346,23868,09:26:00,BD,0.00,s,3,pg,5,1,IV,0,NULL,NULL
1346,23870,09:26:00,RB,27.00,e,2,cp,1,1,IV,0,NULL,NULL
1346,23872,10:22:00,KP,2.40,e,5,oh,1,1,T,0,"1 oh jantan belimbing besar (CD) yang sedang jalan di bumi, ketika oh lihat ke saya, oh naik ke pohon ks dengan mulut beberapa kali dan mengejar saya. Oh cd masih mengejar saya dan saya lari sampai di kp 1.30, oh cd jalan ke arah n dan saya kembali lanjutkan sensus (10:30).",NULL
1347,23878,05:36:00,JB,0.00,s,5,gn,3,1,T,0,"2 ekor gn bb dengan anak yang jalan sendiri yang baru mulai t ke arah s, sepertinya gn ini baru bangun tidur.",NULL
1347,23881,06:21:00,JB,6.25,e,0,gn,1,1,T,0,"satu ekor gn yang sedang t dari e ke w yang melintasi rintis jb, saya tidak dapat lihat dengan jelas jenis kelaminnya karena gn-nya t dengan cepat sekali.",NULL
1347,23883,06:42:00,JB,9.15,w,3,ps,1,1,T,0,NULL,NULL
1347,23884,06:50:00,JB,11.30,w,10,de,1,1,T,0,NULL,NULL
1347,23885,06:54:00,JB,12.32,e,3,gn,1,1,F,0,"jenis makan draconthomelon T#69501 dbh 80. 1 ekor gn jantan sedang besar yang sedang makan buah dragonthomdon yang sudah R crop e tinggi pohon 40m. Posisi buah 123-xyz, posisi gn 2z. Gn makan daging â€“ biji 100% buang kulit. 07:09 - gn mulai t ke arah e dan lanjutkan sensus lagi.",NULL
1348,23898,07:30:00,IF,27.42,s,25,gn,4,1,IV,0,"4 gn yang sedang istirahat dan bersuara. 1. bj brewok, alis warna putih, warna bulu abu-abu, dibelakang warna putih. 2. bb alis warna putih, warna bulu abu-abu. 3. anak di ibu kadang-kadang pisah dari ibu. 4. sedang besar belum jelas jenis kelaminnya. - 07:44 - 4 gn t ke arah nw melintasi rintis if dan kemudian istirahat. Gn sedang besar bersuara kecil dan jalan dalam 1 pohon dari dahan yang satu ke dahan yang lainnyaa. Gn bj mengejar gn sedang besar dan gn sedang besar masih bersuara kecil, gn bb dan anak masih tetap istirahat di posisi yang sama. 08:00 - saya tinggalkan lokasi dan 4 gn t ke arah s melintasi rintis if.",NULL
1348,23901,09:50:00,RG,6.35,w,6,pm,2,1,IV,0,NULL,NULL
1349,23907,05:35:00,SK,1.05,e,3,fk,5,1,TV,0,"5 ekor fk yang sedang t dan bersuara ke arah sw melintasi rintis sk, fk belum jelas jenis kelaminnya, saya hanya hitung jumlahnya saja.",NULL
1349,23908,05:56:00,SK,4.00,w,10,gn,1,1,T,0,"1 gn yang sedang t ke arah nw dan kemudian gn istirahat, saya masih belum jelas lihat jenis kelamin gn ini. 06:08 - gn lihat ke saya dan gn t cepat sekali ke arah e melintasi rintis sk, gn hilang.",NULL
1349,23923,10:11:00,RS,21.10,e,3,oh,2,1,IV,0,"2 oh bb dan anak sedang besar betina, yang sedang istirahat, setelah lihat ke saya oh bb ks beberapa kali dengan mulut.",NULL
1349,23925,10:38:00,RS,26.45,e,2,CKX,2,1,IV,0,NULL,NULL
1350,23930,05:33:00,UB,4.10,e,15,kl,4,1,F,0,"jenis makan licania T#67363 dbh 52. kl 4 ekor yang makan 2 ekor dan kl 2 ekor t ke w. posisi ekor 2 z y dan buah masih m. kl makan sebagian buah hanya 50%. crop size M. saya tunggu kl sampai 30 menit, kl masih makan.",NULL
1350,23934,07:56:00,UB,17.15,w,35,oh,3,1,T,0,"lihat oh 3 ekor, oh 1 bb gendong anak, 1 anak masih di gendong oh, 1 sb / jantan? Sudah jalan sendiri, oh itu marah sambil jalan buang-buang dahan, dan anaknya juga ikut marah, oh selalu kis-kis",NULL
1350,23938,09:45:00,HB,3.30,s,18,kl,2,1,T,0,"lihat kl 2 ekor, 1bb 1bj, saya hanya lihat 2 ekor waktu kl istirahat dan tidak lama kemudian kl langsung jalan ke arah s sambil bersuara.",NULL
1351,23946,05:30:00,BC,0.00,n,3,fk,11,1,F,0,"jenis makan ficus T#10267 dbh 75/29. 1 kelompok fk yang sedang makan buah ficus yang sudah R, crop size P dan posisi makan dan ekor 123-xyz tinggi pohon 40m. Saya hanya menghitung jumlah individunya, besar kecil fk saja, tidak menghitung berapa jumlah fk jantan atau fk betina, sulit untuk mengiranya karena meraka selalu berpindah-pindah dan di arah s masih ada fk yang bersuara.",NULL
1351,23947,05:30:00,BC,0.00,n,3,bl,3,1,F,0,"jenis makan ficus T#10267 dbh 75/25. dan 3 ekor burung bl yang ekor panjang makan sama pohon dan ada lagi burung lain yang makan sama pohon juga, diantaranya burung bc, lbj, dan ub.",NULL
1351,23948,05:30:00,BC,0.00,n,3,bc,1,0,F,0,"jenis makan ficus T#10267 dbh 75/29. mereka makan semua buah 100% dari fk, bl, bc, lbj, dan ub.",NULL
1351,23949,05:30:00,BC,0.00,n,3,lbj,10,0,F,0,NULL,NULL
1351,23950,05:30:00,BC,0.00,n,3,UBX,5,0,F,0,NULL,NULL
1351,23955,06:35:00,BC,8.15,n,6,ra,1,1,T,0,NULL,NULL
1351,23958,07:40:00,AY,1.00,w,20,gn,3,1,T,0,"3 ekor gn yang sedang t dari n ke s diantaranya 1 ekor gn bj brewok, 1 ekor bb dan 1 ekor gn anak sedang yang jalan sendiri, mereka t cepat sekali sehingga saya tidak bisa mengikuti, hanya bisa lihat dari jauh saja.",NULL
1351,23963,09:22:00,PB,5.35,n,10,fk,6,1,TV,0,"6 ekor fk besar kecil sedang t dari s ke n dan bersuara.",NULL
1351,23965,09:43:00,CK,3.00,w,15,ra,1,1,T,0,NULL,NULL
1352,23977,06:47:00,AB,3.40,e,8,UBX,2,1,IV,0,"2 ekor ub warna putih di depan di atas warna merah karat, di atas mata warna putih seperti garis.",NULL
1352,23981,08:05:00,PA,16.08,w,0,de,1,1,T,0,"1 ekor de yang sedang lari di bumi melintasi rintis pa ke arah e dan berangin berhenti.",NULL
1353,23991,08:39:00,MF,10.00,n,5,bh,2,0,TV,0,NULL,NULL
1354,24003,07:14:00,KB,2.40,n,10,pm,3,1,IV,0,NULL,NULL
1354,24009,09:12:00,KM,1.00,w,6,pm,5,1,IV,0,NULL,NULL
1354,24010,09:35:00,KM,5.38,n,3,px,2,1,T,0,"Lihat 2 ekor px warna orange di depan.",NULL
1354,24012,09:35:00,AS,0.00,n,10,pg,5,1,IV,0,NULL,NULL
1354,24013,09:35:00,AS,0.00,n,15,UBX,2,1,I,0,"2 ekor ub warna putih di depan, di atas warna merah karat, di atas mata warna putih seperti garis.",NULL
1354,24016,10:42:00,AS,12.00,s,6,pg,7,1,IV,0,"cuaca kembali mendung 30% dan gerimis.",NULL
1355,24025,06:18:00,GP,104.25,e,5,bb,2,1,IV,0,NULL,NULL
1356,24036,05:45:00,UB,29.00,w,1,pm,1,1,IV,0,NULL,NULL
1356,24041,06:39:00,UB,38.35,n,NULL,kl,1,1,T,0,"1 ekor kl besar yang sedang t ke arah se melintasi rintis ub, kl lihat ke saya, kl bersuara dan t cepar sekali ke arah e, kl belum jelas jenis kelaminnya jantan atau betina.",NULL
1356,24046,10:23:00,MS,13.00,n,35,gn,1,1,T,0,"1 gn yang sedang t ke arah ne, gn besar belum jelas jenis kelaminnya.",NULL
1356,24047,10:40:00,MS,10.10,s,5,mph,1,1,IV,0,NULL,NULL
1357,24059,06:09:00,KP,3.00,w,10,px,1,0,IV,0,NULL,NULL
1357,24063,07:07:00,BD,0.00,w,1,bc,2,0,F,0,"jenis makan litsyea T#67364 bdh 55.5 . lihat 2 ekor burung bc makan buah litsya, tinggi pohon 48m posisi ekor 2 posisi makan z, horizontal y, buah status R, crop size K/L tidak lama kemudian mereka terbang lagi.",NULL
1357,24065,08:07:00,BD,11.20,e,3,bp,1,1,T,0,"Lihat 1 ekor babi keluar dari lobang pohon tumbang",NULL
1357,24066,08:10:00,BD,12.00,e,1,kw,1,1,T,0,NULL,NULL
1357,24071,09:38:00,KP,21.25,e,NULL,kk,1,0,T,0,"(dari kolom animal sampai kolom activity, data asli kosong / tidak isi, saya isi sendiri berdasar komentar yang ada). Lihat 1 ekor kura-kura di tengah-tengah rintis, badannya warna kuning.",NULL
1358,24085,08:10:00,GB,0.40,e,7,bc,3,1,IV,0,NULL,NULL
1358,24090,10:43:00,BM,9.00,e,25,dj,2,1,IV,0,NULL,NULL
1359,24095,08:06:00,RG,9.10,w,3,tc,1,1,T,0,"lihat punai 1 ekor warna hijau istirahat langsung terbang.",NULL
1360,24112,07:55:00,SZ,19.08,e,15,kl,7,1,I,0,"7 ekor kl sedang istirahat. 1. bb 2. as 3. bj 4. bb 5. as belum jelas jenis kelaminnya 6. bb 7. as belum jelas jenis kelaminnya. 08:14 - 7 ekor kl t ke arah w melintasi rintis sz, dan kl lihat ke saya - 08:25 - 7 ekor kl masih istirahat di posisi dan pohon yang sama, saya tinggalkan lokasi dan sensus lagi",NULL
1360,24116,10:20:00,ST,18.02,e,6,gn,1,1,TT,0,"1 gn besar yang sedang t, gn lihat ke saya dan gn bersuara, t cepat sekali ke arah se. gn belum jelas jenis kelaminnya.",NULL
1360,24118,10:42:00,MB,13.35,n,5,ra,1,1,T,0,"1 ekor ra yang sedang lari dipohon dan cuaca mendung 20%",NULL
1361,24130,07:08:00,MR,8.30,n,5,bd,1,1,T,0,NULL,NULL
1362,24141,06:50:00,NB,20.00,n,30,kl,3,1,T,0,"3 ekor kl yang sedang t ke arah nw, saya hanya hitung jumlahnya saja, 3 ekor kl belum jelas jenis kelaminnya.",NULL
1363,24155,05:49:00,GP,23.35,n,5,kl,5,1,T,0,"5 ekor kl yang sedang t ke arah ne, 1 ekor dan ke arah se 4 ekor melintasi rintis gp.",NULL
1363,24159,06:55:00,GP,31.30,w,2,tc,3,1,F,0,"Jenis makan buah ficus T#22068F dbh 65/10. tc makan buah 100% status R crop size N posisi makan dan ekor 1. 2z 2. 2z 3. 2y tinggi pohon 48",NULL
1363,24160,06:55:00,GP,31.30,w,2,bw,8,1,F,0,"jenis makan buah ficus T#22068F dbh 65/10. dan ada 8 ekor bw makan sama pohon dengan 3 ekor tc.",NULL
1363,24161,06:55:00,GP,31.30,w,2,cp,1,1,F,0,"jenis makan buah ficus T#22068F dbh 65/10. cp makan daging dan kulit 80% buang biji, status R crop size N posisi makan dan ekor 1. 2z tinggi pohon 48",NULL
1363,24166,08:36:00,TL,36.10,e,1,yb,1,1,IV,0,NULL,NULL
1363,24169,08:49:00,TL,34.00,w,10,bk,3,1,TT,0,"3 ekor bk besar yang sedang jalan, bk lihat ke saya dan bk turun ke bumi dan lari ke arah nw. 3 ekor bk besar belum jelas jenis kelaminnya.",NULL
1363,24172,10:37:00,JB,18.00,w,15,ra,1,1,IV,0,NULL,NULL
1364,24178,05:58:00,SI,5.10,e,3,gn,1,1,I,0,"1 ekor gn jantan brewok putih warna abu-abu dibelakang yang sedang istirahat di posisi 1-x tinggi pohon 16 dbh 17. beberapa menit kemudian gn-nya mulai t ke arah w dan saya terus lanjutkan sensus lagi. Gn-nya sudah jauh di arah w",NULL
1364,24180,07:25:00,SI,22.30,w,25,kl,1,1,T,0,"1 ekor kl besar yang sedang t cepat sekali ke arah n, saya belum tahu jenis kelaminnya dan hilang.",NULL
1364,24181,07:25:00,SI,22.30,w,25,gn,2,1,IV,0,"2 ekor gn yang sedang bersuara di posisi 2y tinggi pohon 28 dbh 35 di antaranya : 1. bj berewok warna abu-abu di belakang dan 1 bb muka warna hitam warna abu-abu di belakang juga.",NULL
1364,24184,08:06:00,SI,24.45,e,5,kw,34,1,I,0,"1 kelompok kw yang sedng istirahat yang bergantung di batu yang besar.",NULL
1364,24188,09:03:00,HB,2.00,e,20,gn,2,1,T,0,"2 ekor gn yang sedang t, diantaranya 1 bj warna coklat berewok dan 1 bb muka hitam warna bulu coklat juga, yang duluan jalan ke arah s dan diikuti jantan.",NULL
1364,24191,09:19:00,HB,5.20,w,3,pg,1,1,IV,0,NULL,NULL
1365,24206,08:51:00,AT,10.10,e,10,gn,3,1,T,0,"lihat gn 1 bj warna coklat tua muka brewok lagi istirahat langsung lari dengan cepat dari e ke arah w sehingga saya tidak bisa lihat lama, hanya 3 menit gn langsung kabur dan hilang. Sepertinya gn itu hanya sendiri, tidak lama kemudian gn kembali dengan gn 1 bb dan 1 as masih di gendong. 3 gn itu jalan ke e, saya ikuti sebentar dan saya lanjutkan sensus.",NULL
1365,24210,10:01:00,GP,10.40,s,3,oh,2,0,F,0,"Jenis makan arthocarpus T#2021 dbh 40. 2 ekor oh ibu dan anak masih kecil makan buah arthocarpus, status buah M crop size E, tidak lama kemudian oh jalan ke arah n dari rintis gp 11.00",NULL
1365,24212,10:20:00,MT,9.40,n,20,fk,5,0,IV,0,"lihat fk 5 ekor istirahat sambil bersuara seperti marah",NULL
1366,24222,06:25:00,MR,13.20,s,6,ra,1,1,T,0,NULL,NULL
1366,24223,06:25:00,MR,13.20,n,3,pg,2,1,IV,0,NULL,NULL
1366,24227,07:48:00,FS,16.10,s,6,pg,3,1,IV,0,NULL,NULL
1366,24228,07:48:00,FS,16.10,s,6,bh,3,1,IV,0,NULL,NULL
1366,24232,09:33:00,GP,71.28,s,7,pg,1,1,T,0,NULL,NULL
1367,24239,05:35:00,AP,7.00,e,0,gn,2,1,IV,0,"2 gh yang sedang istirahat dan bersuara, gn terlihat masih kurang jelas, hanya dengar suara dan goyangan ranting pohon saja - 05:41 - 2 gn t ke arah se dan gn lihat ke saya, gn bersuara dan t cepat sekali ke arah se, gn hilang. 2 gn belum jelas jenis kelaminnya 1. gn besar 2. gn sedang besar.",NULL
1367,24241,05:58:00,AP,5.20,e,2,bf,3,1,IV,0,NULL,NULL
1367,24244,06:30:00,SP,0.10,w,20,kl,5,1,T,0,"5 ekor kl yang sedang t ke arah n melintasi rintis rb, kl lihat ke saya dan kl bersuara.",NULL
1367,24256,09:24:00,JB,3.35,w,12,tr,1,1,I,0,NULL,NULL
1367,24262,11:14:00,BC,9.37,s,3,ra,1,1,T,0,"1 ekor ra yang sedang lari di pohon dan mulai berangin",NULL
1367,24263,11:53:00,BC,1.35,s,2,bu,2,1,I,0,NULL,NULL
1368,24273,07:42:00,GP,71.28,s,1,pg,2,1,IV,0,NULL,NULL
1369,24290,08:53:00,GP,79.40,n,0,kl,3,1,T,0,"3 ekor kl yang sedang t dari s menuju arah n setelah jauh, kl-nya bersuara. Diantaranya : 1 bj dan 2 bb.",NULL
1370,24296,06:10:00,NB,11.05,n,30,kl,3,1,T,0,"3 ekro kl yang sedang t ke arah ne, 3 ekor kl belum jelas jenis kelaminnya ",NULL
1370,24297,06:17:00,NB,11.30,n,0,gn,1,1,T,0,"1 gn yang sedang t dari arah ne ke arah s melintasi rintis nb, gn t terus ke arah s cepat sekali mengejar suara gn di arah s 200. gn sedang besar belum jelas jenis kelaminnya.",NULL
1370,24298,06:28:00,NB,13.08,n,2,gn,3,1,F,0,"Jenis makan buah ficus T#11258F dbh 35/10. 3 gn yang sedang makan buah ficus, gn makan daging dan kulit 80% buang biji, status R, crop size G, posisi makan dan ekor 1.3z 2.2z 3.2z tinggi pohon 32. 1. gn bj berewok 2. bb 3. anak diibu",NULL
1370,24299,06:28:00,NB,13.08,n,2,bi,1,1,F,0,"Jenis makan buah ficus T#11258F dbh 35/10. bi makan 80% daging dan kulit buang biji, status R crop size G, posisi makan dan ekor 1.2y tinggi pohon 32. 06:41 -3 ekor gn t cepat sekali ke arah sw melintasi rintis nb, setelah gn melihat ke saya, bi juga pindah ke dahan yang lain, istirahat dan lihat ke saya.",NULL
1371,24316,05:43:00,MB,2.00,n,10,kl,8,1,F,0,"Jenis makan Rourea minor T#3L(plot) dbh 89/8. 1 kelompok KL yang makan biji buah liana rourea 100% yang sudah R, buang kulit. Posisi makanan dan perekor 12-xy tinggi pohon 40 dbh 89/8 crop size H. diantaranya : 1 ekor kl bj, 2 ekor kl as, 1 ekor kl bb dan perut yang besar dan 2 ekor lagi kl bb, 2 ekor kl sb belum jelas jenis kelaminnya karena jalan duluan, 1 per 1 kl jalan ke arah ne. 06:50 - 1 ekor lg kl jalan terakhir meninggalkan pohon makanan dan terus menuju ke arah ne juga.",NULL
1371,24329,09:40:00,AT,9.13,w,NULL,pg,1,1,IV,0,NULL,NULL
1372,24339,06:29:00,DS,12.30,n,15,bk,1,1,TT,0,"Lihat 1 ekor berok jantan/betina (tidak jelas), lari dengan cepat dan takut lari ke arah nw.",NULL
1372,24343,08:08:00,GB,4.15,w,25,bp,2,1,T,0,NULL,NULL
1372,24345,08:17:00,GB,1.00,w,30,kl,4,1,T,0,"lihat kl 1 bb (ibu gendong anak), 1 anak (lagi di gendong ibu), 1 bj, 1bb dewasa. Kl ini saya ikuti jalan ke w. mereka istirahat di pohon dipterocarpus besar, mereka istirahat 1 pohon.",NULL
1372,24354,10:04:00,ST,9.10,e,1,cp,1,1,T,0,"Lihat 1 ekor tupai belang jalan dibumi lari tidak jauh ",NULL
1372,24356,10:56:00,ST,4.10,w,30,gn,3,0,TT,0,"lihat gn 3 ekor, gn 1 bj warna abu-abu berewok, 1 gn bb warna abu-abu belakang putih sedikit, 1 gn bb warna abu-abu punya berewok putih di muka. Mereka lari putar dan jauh, semakin jauh jalan ke w",NULL
1373,24370,09:26:00,FS,17.30,s,0,gn,2,1,TV,0,"2 gn yang sedang t dan bersuara ke arah s, cepat sekali dan 2 gn belum jelas jenis kelaminnya.",NULL
1374,24378,07:33:00,KP,17.40,n,0,kw,3,1,I,0,"3 ekor kw yang sedang istirahat, yang bergantung di daun macarangga.",NULL
1374,24382,08:20:00,BD,16.00,e,1,bb,1,1,T,0,NULL,NULL
1374,24384,09:40:00,RB,23.30,n,1,bb,1,1,I,0,"1 ekor bb yang sedang mengeram telurnya.",NULL
1374,24389,11:00:00,KP,9.35,w,1,bb,1,0,I,0,"ketemu lagi 1 ekor bb yang sedang mengeram telurnya.",NULL
1375,24396,05:50:00,JB,3.40,w,NULL,de,1,1,T,0,"1 ekor de yang sedang lari di bumi melintasi rintis jb",NULL
